SOURCE,PRICE,CENSUS_TRACT,PRICE.1,BATHRM,ROOMS,KITCHENS,FIREPLACES,YEAR
Residential,1095000.0,4201.0,1095000.0,4,8,2.0,5,2018
Residential,2100000.0,4201.0,2100000.0,3,9,2.0,4,2018
Residential,1602000.0,4201.0,1602000.0,3,8,2.0,3,2018
Residential,1950000.0,4201.0,1950000.0,3,10,1.0,4,2018
Residential,1050000.0,4201.0,1050000.0,3,8,2.0,1,2018
Residential,1430000.0,4201.0,1430000.0,3,7,2.0,1,2018
Residential,1325000.0,4201.0,1325000.0,3,5,2.0,1,2018
Residential,1240000.0,4201.0,1240000.0,3,8,1.0,0,2018
Residential,592250.0,4201.0,592250.0,3,9,2.0,1,2018
Residential,33232.0,5201.0,33232.0,3,14,1.0,3,2018
Residential,907400.0,5201.0,907400.0,1,6,1.0,0,2018
Residential,1065000.0,5201.0,1065000.0,2,5,1.0,1,2018
Residential,1100000.0,5201.0,1100000.0,2,8,1.0,2,2018
Residential,20000.0,5201.0,20000.0,1,8,1.0,0,2018
Residential,703700.0,5201.0,703700.0,3,9,4.0,0,2018
Residential,1210000.0,5201.0,1210000.0,3,11,2.0,3,2018
Residential,130500.0,5201.0,130500.0,2,6,1.0,3,2018
Residential,339500.0,5201.0,339500.0,2,8,2.0,0,2018
Residential,1050000.0,5201.0,1050000.0,3,9,2.0,0,2018
Residential,1550000.0,5201.0,1550000.0,3,9,2.0,2,2018
Residential,1599900.0,5201.0,1599900.0,3,9,2.0,2,2018
Residential,1700000.0,5201.0,1700000.0,3,13,2.0,3,2018
Residential,1700000.0,5201.0,1700000.0,3,10,2.0,2,2018
Residential,450000.0,5201.0,450000.0,3,10,2.0,0,2018
Residential,846000.0,5201.0,846000.0,3,9,2.0,2,2018
Residential,348500.0,5201.0,348500.0,2,8,2.0,0,2018
Residential,849000.0,5201.0,849000.0,2,8,2.0,2,2018
Residential,1312000.0,5201.0,1312000.0,3,5,2.0,2,2018
Residential,390000.0,5201.0,390000.0,1,4,2.0,0,2018
Residential,772500.0,5201.0,772500.0,3,8,2.0,2,2018
Residential,499000.0,4300.0,499000.0,1,4,2.0,1,2018
Residential,216000.0,4300.0,216000.0,2,9,2.0,2,2018
Residential,636090.0,4300.0,636090.0,3,8,2.0,2,2018
Residential,1599000.0,4300.0,1599000.0,4,11,3.0,0,2018
Residential,380000.0,4300.0,380000.0,3,8,3.0,3,2018
Residential,1295000.0,4300.0,1295000.0,4,8,3.0,2,2018
Residential,1255000.0,5201.0,1255000.0,3,10,2.0,3,2018
Residential,463000.0,5201.0,463000.0,3,10,3.0,0,2018
Residential,990000.0,5201.0,990000.0,3,10,2.0,2,2018
Residential,682500.0,4201.0,682500.0,2,6,2.0,1,2018
Residential,993500.0,4201.0,993500.0,4,8,1.0,1,2018
Residential,745000.0,4201.0,745000.0,2,7,1.0,1,2018
Residential,848500.0,4201.0,848500.0,2,11,2.0,2,2018
Residential,277000.0,4201.0,277000.0,2,11,2.0,2,2018
Residential,1155000.0,4201.0,1155000.0,2,11,2.0,2,2018
Residential,1363000.0,4201.0,1363000.0,2,11,2.0,2,2018
Residential,1148000.0,4201.0,1148000.0,3,11,2.0,2,2018
Residential,900000.0,4201.0,900000.0,3,9,2.0,0,2018
Residential,1440000.0,4201.0,1440000.0,3,9,3.0,4,2018
Residential,872000.0,4201.0,872000.0,2,6,1.0,0,2018
Residential,1500000.0,4201.0,1500000.0,6,18,4.0,0,2018
Residential,1925000.0,4201.0,1925000.0,4,8,2.0,2,2018
Residential,360000.0,10800.0,360000.0,2,7,1.0,0,2018
Residential,1280000.0,5500.0,1280000.0,2,7,1.0,2,2018
Residential,770000.0,5500.0,770000.0,4,12,4.0,4,2018
Residential,1560000.0,5500.0,1560000.0,2,8,3.0,2,2018
Residential,1351830.0,5500.0,1351830.0,4,14,4.0,4,2018
Residential,750000.0,5500.0,750000.0,4,11,2.0,3,2018
Residential,2675000.0,5500.0,2675000.0,4,16,1.0,5,2018
Residential,1844970.0,5500.0,1844970.0,4,11,2.0,2,2018
Residential,2350000.0,5500.0,2350000.0,5,10,3.0,6,2018
Residential,1680000.0,5500.0,1680000.0,3,8,2.0,3,2018
Residential,2834050.0,5500.0,2834050.0,4,11,2.0,6,2018
Residential,1495000.0,5500.0,1495000.0,3,10,3.0,6,2018
Residential,2150000.0,5500.0,2150000.0,3,8,1.0,6,2018
Residential,1945000.0,5500.0,1945000.0,3,11,2.0,6,2018
Residential,1805000.0,5500.0,1805000.0,3,11,2.0,6,2018
Residential,2150000.0,5500.0,2150000.0,2,9,2.0,2,2018
Residential,1625000.0,5500.0,1625000.0,3,11,2.0,7,2018
Residential,1450000.0,5500.0,1450000.0,4,9,2.0,5,2018
Residential,1905000.0,5500.0,1905000.0,2,9,1.0,4,2018
Residential,1865000.0,5500.0,1865000.0,5,10,1.0,5,2018
Residential,860000.0,4201.0,860000.0,1,6,1.0,0,2018
Residential,890000.0,4201.0,890000.0,2,6,1.0,0,2018
Residential,1345000.0,4201.0,1345000.0,3,6,2.0,0,2018
Residential,282777.0,4201.0,282777.0,1,6,1.0,0,2018
Residential,715000.0,4201.0,715000.0,3,9,1.0,1,2018
Residential,1315000.0,4201.0,1315000.0,3,7,2.0,0,2018
Residential,1440000.0,4201.0,1440000.0,3,9,2.0,1,2018
Residential,229161.0,4201.0,229161.0,1,6,1.0,0,2018
Residential,1060000.0,4201.0,1060000.0,3,7,1.0,0,2018
Residential,1925000.0,4201.0,1925000.0,2,8,2.0,1,2018
Residential,979000.0,4201.0,979000.0,3,9,2.0,0,2018
Residential,1737000.0,4201.0,1737000.0,4,9,2.0,1,2018
Residential,865000.0,4202.0,865000.0,2,6,2.0,1,2018
Residential,795000.0,4202.0,795000.0,2,5,1.0,1,2018
