,price,census_tract,bathrm,rooms,kitchens,fireplaces,year,offense_ARSON,offense_ASSAULT W/DANGEROUS WEAPON,offense_BURGLARY,offense_HOMICIDE,offense_MOTOR VEHICLE THEFT,offense_ROBBERY,offense_SEX ABUSE,offense_THEFT F/AUTO,offense_THEFT/OTHER,method_GUN,method_KNIFE,method_OTHERS,shift_DAY,shift_EVENING,shift_MIDNIGHT
0,2100000.0,4201,3,9,2.0,4,2016,0,3,7,0,7,8,2,62,69,2,4,152,58,73,27
1,1430000.0,4201,3,7,2.0,1,2018,0,3,6,0,3,9,0,30,51,4,1,97,30,49,23
2,33232.0,5201,3,14,1.0,3,2016,0,5,35,0,11,15,3,236,189,4,2,488,179,234,81
3,1550000.0,5201,3,9,2.0,2,2016,0,5,35,0,11,15,3,236,189,4,2,488,179,234,81
4,1599900.0,5201,3,9,2.0,2,2015,0,8,24,0,18,21,5,161,200,3,4,430,184,185,68
5,1700000.0,5201,3,10,2.0,2,2017,0,8,13,0,15,16,4,137,247,2,7,431,120,232,88
6,1599000.0,4300,4,11,3.0,0,2014,0,17,15,0,14,20,3,83,209,6,12,343,159,125,77
7,993500.0,4201,4,8,1.0,1,2014,0,4,16,0,5,10,0,57,70,4,0,158,62,69,31
8,1363000.0,4201,2,11,2.0,2,2017,0,3,5,0,8,5,3,38,55,1,2,114,45,47,25
9,1500000.0,4201,6,18,4.0,0,2017,0,3,5,0,8,5,3,38,55,1,2,114,45,47,25
10,1925000.0,4201,4,8,2.0,2,2015,0,0,7,0,7,7,1,58,67,1,1,145,59,58,30
11,1280000.0,5500,2,7,1.0,2,2014,0,19,19,0,13,20,6,71,343,5,10,476,202,217,72
12,1351830.0,5500,4,14,4.0,4,2017,0,7,16,0,8,20,1,163,245,4,3,453,156,219,85
13,1844970.0,5500,4,11,2.0,2,2017,0,7,16,0,8,20,1,163,245,4,3,453,156,219,85
14,2350000.0,5500,5,10,3.0,6,2016,0,16,29,1,9,21,3,181,367,5,3,619,216,302,109
15,1625000.0,5500,3,11,2.0,7,2017,0,7,16,0,8,20,1,163,245,4,3,453,156,219,85
16,1905000.0,5500,2,9,1.0,4,2014,0,19,19,0,13,20,6,71,343,5,10,476,202,217,72
17,1345000.0,4201,3,6,2.0,0,2018,0,3,6,0,3,9,0,30,51,4,1,97,30,49,23
18,1440000.0,4201,3,9,2.0,1,2015,0,0,7,0,7,7,1,58,67,1,1,145,59,58,30
19,1925000.0,4201,2,8,2.0,1,2017,0,3,5,0,8,5,3,38,55,1,2,114,45,47,25
20,1737000.0,4201,4,9,2.0,1,2015,0,0,7,0,7,7,1,58,67,1,1,145,59,58,30
21,865000.0,4202,2,6,2.0,1,2015,0,1,6,0,17,10,1,59,77,3,0,168,70,69,32
22,950000.0,4202,2,6,1.0,1,2017,0,0,8,0,14,9,1,74,50,1,1,154,54,69,33
23,1050000.0,4202,2,7,1.0,3,2014,0,2,9,0,7,6,0,65,56,2,0,143,63,63,19
